,Points,Scored,Conceded
Chelsea,87,73,32
Man City,79,83,38
Arsenal,75,71,36
Man United,70,62,37
Tottenham,64,58,53
Liverpool,62,52,48
Southampton,60,54,33
Swansea,56,46,49
Stoke,54,48,45
Crystal Palace,48,47,51
Everton,47,48,50
West Ham,47,44,47
West Brom,44,38,51
Leicester,41,46,55
Newcastle,39,40,63
Aston Villa,38,31,57
Sunderland,38,31,53
Hull,35,33,51
Burnley,33,28,53
QPR,30,42,73
