,Points,Scored,Conceded
Man City,89,93,29
Man United,89,89,33
Arsenal,70,74,49
Tottenham,69,66,41
Newcastle,65,56,51
Chelsea,64,65,46
Everton,56,50,40
Fulham,52,48,51
Liverpool,52,47,40
West Brom,47,45,52
Swansea,47,44,51
Norwich,47,52,66
Sunderland,45,45,46
Stoke,45,36,53
Wigan,43,42,62
Aston Villa,38,37,53
QPR,37,43,66
Bolton,36,46,77
Blackburn,31,48,78
Wolves,25,40,82
