,Points,Scored,Conceded
Chelsea,86,103,32
Man United,85,86,28
Arsenal,75,83,41
Tottenham,70,67,41
Man City,67,73,45
Aston Villa,64,52,39
Liverpool,63,61,35
Everton,61,60,49
Birmingham,50,38,47
Blackburn,50,41,55
Stoke,47,34,48
Fulham,46,39,46
Sunderland,44,48,56
Bolton,39,42,67
Wolves,38,32,56
Wigan,36,37,79
West Ham,35,47,66
Hull,30,34,75
Burnley,30,42,82
Portsmouth,28,34,66
