,Points,Scored,Conceded
Leicester,81,68,36
Arsenal,71,65,36
Tottenham,70,69,35
Man City,66,71,41
Man United,66,49,35
Southampton,63,59,41
West Ham,62,65,51
Liverpool,60,63,50
Stoke,51,41,55
Chelsea,50,59,53
Swansea,47,42,52
Everton,47,59,55
Watford,45,40,50
West Brom,43,34,48
Bournemouth,42,45,67
Crystal Palace,42,39,51
Sunderland,39,48,62
Newcastle,37,44,65
Norwich,34,39,67
Aston Villa,17,27,76
