,Points,Scored,Conceded
Man United,89,86,43
Man City,78,66,34
Chelsea,75,75,39
Arsenal,73,72,37
Tottenham,72,66,46
Everton,63,55,40
Liverpool,61,71,43
West Brom,49,53,57
Swansea,46,47,51
West Ham,46,45,53
Norwich,44,41,58
Fulham,43,50,60
Stoke,42,34,45
Newcastle,41,45,68
Aston Villa,41,47,69
Southampton,41,49,60
Sunderland,39,41,54
Wigan,36,47,73
Reading,28,43,73
QPR,25,30,60
