,Points,Scored,Conceded
Man United,80,78,37
Man City,71,60,33
Chelsea,71,69,33
Arsenal,68,72,43
Tottenham,62,55,46
Liverpool,58,59,44
Everton,54,51,45
Fulham,49,49,43
Aston Villa,48,48,59
Sunderland,47,45,56
West Brom,47,56,71
Stoke,46,46,48
Bolton,46,52,56
Newcastle,46,56,57
Blackburn,43,46,59
Wigan,42,40,61
Wolves,40,46,66
Birmingham,39,37,58
Blackpool,39,55,78
West Ham,33,43,70
