,Points,Scored,Conceded
Man City,100,106,27
Man United,81,68,28
Tottenham,77,74,36
Liverpool,75,84,38
Chelsea,70,62,38
Arsenal,63,74,51
Burnley,54,36,39
Everton,49,44,58
Leicester,47,56,60
Crystal Palace,44,45,55
Bournemouth,44,45,61
Newcastle,44,39,47
West Ham,42,48,68
Watford,41,44,64
Brighton,40,34,54
Huddersfield,37,28,58
Southampton,36,37,56
Stoke,33,35,68
Swansea,33,28,56
West Brom,31,31,56
