,Points,Scored,Conceded
Chelsea,93,85,33
Tottenham,86,86,26
Man City,78,80,39
Liverpool,76,78,42
Arsenal,75,77,44
Man United,69,54,29
Everton,61,62,44
Southampton,46,41,48
Bournemouth,46,55,67
West Ham,45,47,64
West Brom,45,43,51
Leicester,44,48,63
Stoke,44,41,56
Crystal Palace,41,50,63
Swansea,41,45,70
Burnley,40,39,55
Watford,40,40,68
Hull,34,37,80
Middlesbrough,28,27,53
Sunderland,24,29,69
