,Points,Scored,Conceded
Paris SG,83,83,36
Lyon,75,72,33
Monaco,71,51,26
Marseille,69,76,42
St Etienne,69,51,30
Bordeaux,63,47,44
Montpellier,56,46,39
Lille,56,43,42
Rennes,50,35,42
Guingamp,49,41,55
Nice,48,44,53
Bastia,47,37,46
Caen,46,54,55
Nantes,45,29,40
Reims,44,47,66
Lorient,43,44,50
Toulouse,42,43,64
Evian Thonon Gaillard,37,41,62
Metz,30,31,61
Lens,29,32,61
