,Points,Scored,Conceded
Marseille,78,69,36
Lyon,72,64,38
Auxerre,71,42,29
Lille,70,72,40
Montpellier,69,50,40
Bordeaux,64,58,40
Lorient,58,54,42
Monaco,55,39,45
Rennes,53,52,41
Valenciennes,52,50,50
Nancy,48,46,53
Lens,48,40,44
Toulouse,47,36,36
Paris SG,47,50,46
Nice,44,41,57
Sochaux,41,28,52
St Etienne,40,27,45
Le Mans,32,36,59
Boulogne,31,31,62
Grenoble,23,31,61
