,Points,Scored,Conceded
Lille,76,68,36
Marseille,68,62,39
Lyon,64,61,40
Paris SG,60,56,41
Sochaux,58,60,43
Rennes,56,38,35
Bordeaux,51,43,42
Toulouse,50,38,36
Lorient,49,46,48
St Etienne,49,46,47
Auxerre,49,45,41
Valenciennes,48,45,41
Nancy,48,43,48
Montpellier,47,32,43
Caen,46,46,51
Nice,46,33,48
Brest,46,36,43
Monaco,44,36,40
Lens,35,35,58
Arles,20,21,70
