,Points,Scored,Conceded
Paris SG,93,108,29
Monaco,80,85,45
Lyon,78,87,43
Marseille,77,80,47
Rennes,58,50,44
Bordeaux,55,53,48
St Etienne,55,47,50
Nice,54,53,52
Nantes,52,36,41
Montpellier,51,36,33
Dijon,48,55,73
Guingamp,47,48,59
Amiens,45,37,42
Angers,41,42,52
Caen,38,27,52
Lille,38,41,67
Strasbourg,38,44,67
Toulouse,37,38,54
Troyes,33,32,59
Metz,26,34,76
