,Points,Scored,Conceded
Monaco,95,107,31
Paris SG,87,83,27
Nice,78,63,36
Lyon,67,80,48
Marseille,62,57,41
Bordeaux,59,53,43
Nantes,51,40,54
Rennes,50,36,42
Guingamp,50,46,53
St Etienne,50,41,42
Angers,46,40,49
Lille,46,40,47
Toulouse,44,37,41
Metz,43,39,72
Montpellier,39,48,66
Dijon,37,46,58
Caen,37,36,65
Lorient,36,44,70
Nancy,35,29,52
Bastia,34,29,57
