,Points,Scored,Conceded
Paris SG,89,84,23
Monaco,80,63,31
Lille,71,46,26
St Etienne,69,56,34
Lyon,61,56,44
Marseille,60,53,40
Bordeaux,53,49,43
Toulouse,49,46,53
Nantes,49,40,43
Lorient,49,48,53
Reims,48,44,52
Bastia,46,42,58
Rennes,46,47,45
Evian Thonon Gaillard,44,39,51
Nice,42,30,44
Guingamp,42,34,42
Montpellier,42,45,53
Sochaux,40,37,61
Valenciennes,29,37,65
Ajaccio,23,37,72
