,Points,Scored,Conceded
Paris SG,83,69,23
Marseille,71,42,36
Lyon,67,61,38
Nice,64,57,46
St Etienne,63,60,32
Lille,62,59,40
Bordeaux,55,40,34
Lorient,53,57,58
Montpellier,52,54,51
Toulouse,51,49,47
Valenciennes,48,49,53
Bastia,47,50,66
Rennes,46,48,59
Reims,43,33,42
Ajaccio,42,39,51
Sochaux,41,41,57
Evian Thonon Gaillard,40,46,53
Nancy,38,38,58
Troyes,37,43,61
Brest,29,32,62
