,Points,Scored,Conceded
Paris SG,96,102,19
Lyon,65,67,43
Monaco,65,57,50
Nice,63,58,41
Lille,60,39,27
St Etienne,58,42,37
Caen,54,39,52
Rennes,52,52,54
Angers,50,40,38
Bordeaux,50,50,57
Bastia,50,36,42
Montpellier,49,49,47
Nantes,48,33,44
Marseille,48,48,42
Lorient,46,47,58
Guingamp,44,47,56
Toulouse,40,45,55
Reims,39,44,57
Ajaccio GFCO,37,37,58
Troyes,18,28,83
