,Points,Scored,Conceded
Montpellier,82,68,34
Paris SG,79,75,41
Lille,74,72,39
Lyon,64,64,51
Bordeaux,61,53,41
Rennes,60,53,44
St Etienne,57,49,45
Toulouse,56,37,34
Evian Thonon Gaillard,50,54,55
Marseille,48,45,41
Nancy,45,38,48
Valenciennes,43,40,50
Nice,42,39,46
Sochaux,42,40,60
Brest,41,31,38
Ajaccio,41,40,61
Lorient,39,35,49
Caen,38,39,59
Dijon,36,38,63
Auxerre,34,46,57
