,Points,Scored,Conceded
Juventus,102,80,23
Roma,85,72,25
Napoli,78,77,39
Fiorentina,65,65,44
Inter,60,62,39
Parma,58,58,46
Torino,57,58,48
Milan,57,57,49
Lazio,56,54,54
Verona,54,62,68
Atalanta,50,43,51
Sampdoria,45,48,62
Udinese,44,46,57
Genoa,44,41,50
Cagliari,39,34,53
Chievo,36,34,54
Sassuolo,34,43,72
Catania,32,34,66
Bologna,29,28,58
Livorno,25,39,77
