,Points,Scored,Conceded
Juventus,91,77,27
Roma,87,90,38
Napoli,86,94,39
Atalanta,72,62,41
Lazio,70,74,51
Milan,63,57,45
Inter,62,72,49
Fiorentina,60,63,57
Torino,53,71,66
Sampdoria,48,49,55
Cagliari,47,55,76
Sassuolo,46,58,63
Udinese,45,47,56
Chievo,43,43,61
Bologna,41,40,58
Genoa,36,38,64
Crotone,34,34,58
Empoli,32,29,61
Palermo,26,33,77
Pescara,18,37,81
