,Points,Scored,Conceded
Juventus,84,68,20
Milan,80,74,33
Udinese,64,52,35
Lazio,62,56,47
Napoli,61,66,46
Inter,58,58,55
Roma,56,60,54
Parma,56,54,53
Atalanta,52,41,43
Bologna,51,41,43
Chievo,49,35,45
Catania,48,47,52
Fiorentina,46,37,43
Siena,44,45,45
Palermo,43,52,62
Cagliari,43,37,46
Genoa,42,50,69
Lecce,36,40,56
Novara,32,35,65
Cesena,22,24,60
