,Points,Scored,Conceded
Juventus,91,75,20
Napoli,82,80,32
Roma,80,83,41
Inter,67,50,38
Fiorentina,64,60,42
Sassuolo,61,49,40
Milan,57,49,43
Lazio,54,52,52
Chievo,50,43,45
Empoli,46,40,49
Genoa,46,45,48
Torino,45,52,55
Atalanta,45,41,47
Bologna,42,33,45
Sampdoria,40,48,61
Udinese,39,35,60
Palermo,39,38,65
Carpi,38,37,57
Frosinone,31,35,76
Verona,28,34,63
