,Points,Scored,Conceded
Inter,82,75,34
Roma,80,68,41
Milan,70,60,39
Sampdoria,67,49,41
Palermo,65,59,47
Napoli,59,50,43
Juventus,55,55,56
Parma,52,46,51
Genoa,51,57,61
Bari,50,49,49
Fiorentina,47,48,47
Lazio,46,39,43
Catania,45,44,45
Chievo,44,37,42
Cagliari,44,56,58
Udinese,44,54,59
Bologna,42,42,55
Atalanta,35,37,53
Siena,31,40,67
Livorno,29,27,61
