,Points,Scored,Conceded
Milan,82,65,24
Inter,76,69,42
Napoli,70,59,39
Udinese,66,65,43
Lazio,66,55,39
Roma,63,59,52
Juventus,58,57,47
Palermo,56,58,63
Fiorentina,51,49,44
Genoa,51,45,47
Chievo,46,38,40
Catania,46,40,52
Parma,46,39,47
Cagliari,45,44,51
Bologna,45,35,52
Cesena,43,38,50
Lecce,41,46,66
Sampdoria,36,33,49
Brescia,32,34,52
Bari,24,27,56
