,Points,Scored,Conceded
Juventus,87,72,24
Roma,70,54,31
Lazio,69,71,38
Fiorentina,64,61,46
Napoli,63,70,54
Genoa,59,62,47
Sampdoria,56,48,42
Inter,55,59,48
Torino,54,48,45
Milan,52,56,50
Sassuolo,49,49,57
Palermo,49,53,55
Verona,46,49,65
Chievo,43,28,41
Empoli,42,46,52
Udinese,41,43,56
Atalanta,37,38,57
Cagliari,34,48,68
Parma,26,33,75
Cesena,24,36,73
