,Points,Scored,Conceded
Juventus,87,71,24
Napoli,78,73,36
Milan,72,67,39
Fiorentina,70,72,44
Udinese,66,59,45
Roma,62,71,56
Lazio,61,51,42
Catania,56,50,46
Inter,54,55,57
Parma,49,45,46
Cagliari,47,43,55
Chievo,45,37,52
Bologna,44,46,52
Sampdoria,43,43,51
Atalanta,42,39,56
Torino,40,46,55
Genoa,38,38,52
Siena,36,36,57
Palermo,32,34,54
Pescara,22,27,84
