,Points,Scored,Conceded
Juventus,95,86,24
Napoli,91,77,29
Roma,77,61,28
Lazio,72,89,49
Inter,72,66,30
Milan,64,56,42
Atalanta,60,57,39
Fiorentina,57,54,46
Torino,54,54,46
Sampdoria,54,56,60
Sassuolo,43,29,59
Genoa,41,33,43
Udinese,40,48,63
Chievo,40,36,59
Bologna,39,40,52
Cagliari,39,33,61
Spal,38,39,59
Crotone,35,40,66
Verona,25,30,78
Benevento,21,33,84
