,Points,Scored,Conceded
Barcelona,99,98,24
Real Madrid,96,102,35
Valencia,71,59,40
Sevilla,63,65,49
Mallorca,62,59,44
Getafe,58,58,48
Villarreal,56,58,57
Ath Bilbao,54,50,53
Ath Madrid,47,57,61
La Coruna,47,35,49
Espanol,44,29,46
Osasuna,43,37,46
Almeria,42,43,55
Zaragoza,41,46,64
Sp Gijon,40,36,51
Santander,39,42,59
Malaga,37,42,48
Valladolid,36,37,62
Tenerife,36,40,74
Xerez,34,38,66
