,Points,Scored,Conceded
Barcelona,96,95,21
Real Madrid,92,102,33
Valencia,71,64,44
Villarreal,62,54,44
Sevilla,58,62,61
Ath Madrid,58,62,53
Ath Bilbao,58,59,55
Espanol,49,46,55
Sp Gijon,47,35,42
Osasuna,47,45,46
Malaga,46,54,68
Santander,46,41,56
Levante,45,41,52
Zaragoza,45,40,53
Sociedad,45,49,66
Mallorca,44,41,56
Getafe,44,49,60
La Coruna,43,31,47
Hercules,35,36,60
Almeria,30,36,70
