,Points,Scored,Conceded
Barcelona,100,115,40
Real Madrid,85,103,42
Ath Madrid,76,65,31
Sociedad,66,70,49
Valencia,65,67,54
Malaga,57,53,50
Betis,56,57,56
Vallecano,53,50,66
Sevilla,50,58,54
Getafe,47,43,57
Levante,46,40,57
Ath Bilbao,45,44,65
Espanol,44,43,52
Valladolid,43,49,58
Granada,42,37,54
Osasuna,39,33,50
Celta,37,37,52
Mallorca,36,43,72
La Coruna,35,47,70
Zaragoza,34,37,62
