,Points,Scored,Conceded
Ath Madrid,90,77,26
Real Madrid,87,104,38
Barcelona,87,100,33
Ath Bilbao,70,66,39
Sevilla,63,69,52
Villarreal,59,60,44
Sociedad,59,62,55
Valencia,49,51,53
Celta,49,49,54
Levante,48,35,43
Malaga,45,39,46
Vallecano,43,46,80
Getafe,42,35,54
Espanol,42,41,51
Granada,41,32,56
Almeria,40,43,71
Elche,40,30,50
Osasuna,39,32,62
Valladolid,36,38,60
Betis,25,36,78
