,Points,Scored,Conceded
Barcelona,91,112,29
Real Madrid,90,110,34
Ath Madrid,88,63,18
Villarreal,64,44,35
Ath Bilbao,62,58,45
Celta,60,51,59
Sevilla,52,51,50
Malaga,48,38,35
Sociedad,48,45,48
Betis,45,34,52
Valencia,44,46,48
Las Palmas,44,45,53
Espanol,43,40,74
Eibar,43,49,61
La Coruna,42,45,61
Sp Gijon,39,40,62
Granada,39,46,69
Vallecano,38,52,73
Getafe,36,37,67
Levante,32,37,70
