,Points,Scored,Conceded
Real Madrid,100,121,32
Barcelona,91,114,29
Valencia,61,59,44
Malaga,58,54,53
Ath Madrid,56,53,46
Levante,55,54,50
Osasuna,54,44,61
Mallorca,52,42,46
Sevilla,50,48,47
Ath Bilbao,49,49,52
Getafe,47,40,51
Sociedad,47,46,52
Betis,47,47,56
Espanol,46,46,56
Zaragoza,43,36,61
Vallecano,43,53,73
Granada,42,35,56
Villarreal,41,39,53
Sp Gijon,37,42,69
Santander,27,28,63
