,Points,Scored,Conceded
Barcelona,93,99,29
Ath Madrid,79,58,22
Real Madrid,76,94,44
Valencia,73,65,38
Villarreal,61,57,50
Betis,60,60,61
Sevilla,58,49,58
Getafe,55,42,33
Eibar,51,44,50
Girona,51,50,59
Celta,49,59,60
Sociedad,49,66,59
Espanol,49,36,42
Alaves,47,40,50
Levante,46,44,58
Leganes,43,34,51
Ath Bilbao,43,41,49
La Coruna,29,38,76
Las Palmas,22,24,74
Malaga,20,24,61
