,Points,Scored,Conceded
Barcelona,94,110,21
Real Madrid,92,118,38
Ath Madrid,78,67,29
Valencia,77,70,32
Sevilla,76,71,45
Villarreal,60,48,37
Ath Bilbao,55,42,41
Celta,51,47,44
Malaga,50,42,48
Espanol,49,47,51
Vallecano,49,46,68
Sociedad,46,44,51
Elche,41,35,62
Getafe,37,33,64
Levante,37,34,67
Eibar,35,34,55
La Coruna,35,35,60
Granada,35,29,64
Almeria,32,35,64
Cordoba,20,22,68
