,Points,Scored,Conceded
Real Madrid,93,106,41
Barcelona,90,116,37
Ath Madrid,78,70,27
Sevilla,72,69,49
Villarreal,67,56,33
Sociedad,64,59,53
Ath Bilbao,63,53,43
Espanol,56,49,50
Alaves,55,41,43
Eibar,54,56,51
Malaga,46,49,55
Valencia,46,56,65
Celta,45,53,69
Las Palmas,39,53,74
Betis,39,41,64
La Coruna,36,43,61
Leganes,35,36,55
Sp Gijon,31,42,72
Osasuna,22,40,94
Granada,20,30,82
