,Points,Scored,Conceded
Bayern Munich,70,72,31
Schalke 04,65,53,31
Werder Bremen,61,71,40
Leverkusen,59,65,38
Dortmund,57,54,42
Stuttgart,55,51,41
Hamburg,52,56,41
Wolfsburg,50,64,58
Mainz,47,36,42
Ein Frankfurt,46,47,54
Hoffenheim,42,44,42
M'gladbach,39,43,60
FC Koln,38,33,42
Freiburg,35,35,59
Hannover,33,43,67
Nurnberg,31,32,58
Bochum,28,33,64
Hertha,24,34,56
