,Points,Scored,Conceded
Bayern Munich,79,80,18
Wolfsburg,69,72,38
M'gladbach,66,53,26
Leverkusen,61,62,37
Augsburg,49,43,43
Schalke 04,48,42,40
Dortmund,46,47,42
Hoffenheim,44,49,55
Werder Bremen,43,50,65
Ein Frankfurt,43,56,62
FC Koln,40,34,40
Mainz,40,45,47
Hannover,37,40,56
Stuttgart,36,42,60
Hamburg,35,25,50
Hertha,35,36,52
Freiburg,34,36,47
Paderborn,31,31,65
