,Points,Scored,Conceded
Dortmund,75,67,22
Leverkusen,68,64,44
Bayern Munich,65,81,40
Hannover,60,49,45
Mainz,58,52,39
Nurnberg,47,47,45
Kaiserslautern,46,48,51
Hamburg,45,46,52
FC Koln,44,47,62
Freiburg,44,41,50
Hoffenheim,43,50,50
Stuttgart,42,60,59
Werder Bremen,41,47,61
Schalke 04,40,38,44
Wolfsburg,38,43,48
M'gladbach,36,48,65
Ein Frankfurt,34,31,49
St Pauli,29,35,68
