,Points,Scored,Conceded
Dortmund,81,80,25
Bayern Munich,73,77,22
Schalke 04,64,74,44
M'gladbach,60,49,24
Leverkusen,54,52,44
Stuttgart,53,63,46
Hannover,48,41,45
Wolfsburg,44,47,60
Werder Bremen,42,49,58
Nurnberg,42,38,49
Hoffenheim,41,41,47
Freiburg,40,45,61
Mainz,39,47,51
Augsburg,38,36,49
Hamburg,36,35,57
Hertha,31,38,64
FC Koln,30,39,75
Kaiserslautern,23,24,54
