,Points,Scored,Conceded
Bayern Munich,88,80,17
Dortmund,78,82,34
Leverkusen,60,56,40
M'gladbach,55,67,50
Schalke 04,52,51,49
Hertha,50,42,42
Mainz,50,46,42
Wolfsburg,45,47,49
FC Koln,43,38,42
Hamburg,41,40,46
Ingolstadt,40,33,42
Augsburg,38,42,52
Darmstadt,38,38,53
Werder Bremen,38,50,65
Hoffenheim,37,39,54
Ein Frankfurt,36,34,52
Stuttgart,33,50,75
Hannover,25,31,62
