,Points,Scored,Conceded
Bayern Munich,90,94,23
Dortmund,71,80,38
Schalke 04,64,63,43
Leverkusen,61,60,41
Wolfsburg,60,63,50
M'gladbach,55,59,43
Mainz,53,52,54
Augsburg,52,47,47
Hoffenheim,44,72,70
Hannover,42,46,59
Hertha,41,40,48
Werder Bremen,39,42,66
Freiburg,36,43,61
Ein Frankfurt,36,40,57
Stuttgart,32,49,62
Hamburg,27,51,75
Nurnberg,26,37,70
Braunschweig,25,29,60
