,Points,Scored,Conceded
Bayern Munich,84,92,28
Schalke 04,63,53,37
Dortmund,55,64,47
Hoffenheim,55,66,48
Leverkusen,55,58,44
RB Leipzig,53,57,53
Stuttgart,51,36,36
Ein Frankfurt,49,45,45
M'gladbach,47,47,52
Hertha,43,43,46
Werder Bremen,42,37,40
Augsburg,41,43,46
Hannover,39,44,54
Freiburg,36,32,56
Mainz,36,38,52
Wolfsburg,33,36,48
Hamburg,31,29,53
FC Koln,22,35,70
