,Points,Scored,Conceded
Bayern Munich,91,98,18
Dortmund,66,81,42
Leverkusen,65,65,39
Schalke 04,55,58,50
Ein Frankfurt,51,49,46
Freiburg,51,45,40
Hamburg,48,42,53
M'gladbach,47,45,49
Hannover,45,60,62
Nurnberg,44,39,47
Stuttgart,43,37,55
Wolfsburg,43,47,52
Mainz,42,42,44
Werder Bremen,34,50,66
Augsburg,33,33,51
Hoffenheim,31,42,67
Fortuna Dusseldorf,30,39,57
Greuther Furth,21,26,60
